ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Reference #;Visibility;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes)
1;1;ACCESSOIRE POUR IPHONE 3/4/4S (CHARGEUR+ECOUTEUR+CABLE…);Câbles & chargeurs, Numériques, Téléphonie - Objet Connecté;17980;;both;Ariary;Accessoires complets pour iphone 3/4/4S.;Accessoires complets pour iphone 3/4/4S.;iphone, accessoire,cable,ecouteur,chargeur;ACCESSOIRE POUR IPHONE 3/4/4S (CHARGEUR+ECOUTEUR+CABLE…);ACCESSOIRE POUR IPHONE 3/4/4S (CHARGEUR+ECOUTEUR+CABLE…);ACCESSOIRE POUR IPHONE 3/4/4S (CHARGEUR+ECOUTEUR+CABLE…);1;0
2;1;ACCESSOIRE POUR IPHONE 5/5S/6/6S (CHARGEUR+ECOUTEUR+CABLE…);Câbles & chargeurs, Numériques, Téléphonie - Objet Connecté;17980;;both;Ariary;Accessoires complets pour iphone 5/5S/6/6S.;Accessoires complets pour iphone 5/5S/6/6S.;iphone, accessoire,cable,ecouteur,chargeur;ACCESSOIRE POUR IPHONE 5/5S/6/6S (CHARGEUR+ECOUTEUR+CABLE…);ACCESSOIRE POUR IPHONE 5/5S/6/6S (CHARGEUR+ECOUTEUR+CABLE…);ACCESSOIRE POUR IPHONE 5/5S/6/6S (CHARGEUR+ECOUTEUR+CABLE…);1;0
3;1;ADAPTATEUR IPHONE4 A IPHONE5 (PEUT CONNECTER CABLE IPHONE4 SUR IPHONE5);USB, Périphériques, Connectique, Câbles;3400;;both;Ariary;Cet accessoire vous permettra de connecter un cable d'iphone 4 sur un iphone 5.;Cet accessoire vous permettra de connecter un cable d'iphone 4 sur un iphone 5.;iphone, accessoire,cable,ecouteur,chargeur;ADAPTATEUR IPHONE4 A IPHONE5 (PEUT CONNECTER CABLE IPHONE4 SUR IPHONE5);ADAPTATEUR IPHONE4 A IPHONE5 (PEUT CONNECTER CABLE IPHONE4 SUR IPHONE5);ADAPTATEUR IPHONE4 A IPHONE5 (PEUT CONNECTER CABLE IPHONE4 SUR IPHONE5);1;0
4;1;ADAPTATEUR CHARGEUR POUR CONSOLE DE JEU WII;USB, Périphériques, Connectique, Câbles;134610;;both;Ariary;Cet adaptateur vous permettra de charger votre console de jeu WII;Cet adaptateur vous permettra de charger votre console de jeu WII;console,wii,chargeur,jeu video;ADAPTATEUR CHARGEUR POUR CONSOLE DE JEU WII;ADAPTATEUR CHARGEUR POUR CONSOLE DE JEU WII;ADAPTATEUR CHARGEUR POUR CONSOLE DE JEU WII;1;0
5;1;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;USB, Périphériques, Connectique, Câbles;25910;;both;Ariary;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;Adaptateur;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;1;0
6;1;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;Accessoires gadget, Numériques, Téléphonie - Objet Connecté;1000;;both;Ariary;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;autocollant, accessoire, iphone, bouton, decoration;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;1;0
7;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;Batteries, Numériques, Téléphonie - Objet Connecté;30920;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;1;0
8;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;Batteries, Numériques, Téléphonie - Objet Connecté;35730;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;1;0
9;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;Batteries, Numériques, Téléphonie - Objet Connecté;54450;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;1;0
10;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;Batteries, Numériques, Téléphonie - Objet Connecté;53000;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;1;0
